start_station_id,end_station_id,hour,trip_count
171,171,11.0,2
171,171,13.0,1
171,171,15.0,1
171,171,16.0,4
171,171,21.0,1
171,171,23.0,1
171,183,12.0,1
171,183,16.0,1
171,225,17.0,1
171,246,18.0,1
171,247,9.0,1
171,248,11.0,1
171,248,16.0,1
171,248,20.0,1
171,249,12.0,1
171,250,16.0,1
171,252,16.0,1
171,252,17.0,1
171,253,10.0,1
171,253,16.0,1
171,258,21.0,1
171,260,18.0,1
171,264,11.0,1
171,264,12.0,1
171,264,14.0,2
171,264,16.0,1
171,264,17.0,1
171,265,10.0,1
171,265,12.0,1
171,265,13.0,1
171,265,15.0,1
171,265,17.0,1
171,265,18.0,2
171,265,20.0,1
171,265,21.0,2
171,265,22.0,1
171,265,23.0,1
171,289,12.0,1
171,289,13.0,2
171,289,23.0,1
171,358,17.0,3
171,1024,9.0,1
171,1024,11.0,1
171,1024,12.0,1
171,1024,13.0,1
171,1024,14.0,3
171,1024,16.0,1
171,1024,18.0,1
171,1024,20.0,1
171,1025,13.0,4
171,1025,15.0,2
171,1025,18.0,1
171,1025,19.0,1
171,1025,22.0,1
171,1028,19.0,1
171,1038,17.0,1
171,1038,21.0,1
171,1039,21.0,1
171,1042,9.0,1
171,1042,11.0,1
171,1050,19.0,1
171,1051,12.0,1
171,1051,15.0,1
171,1051,17.0,2
171,1091,8.0,1
171,1091,14.0,3
171,1091,15.0,2
171,1091,18.0,1
171,1091,20.0,1
171,1092,17.0,1
171,1092,18.0,2
171,1096,9.0,1
171,1098,15.0,1
171,1098,16.0,2
171,1098,17.0,1
171,1102,19.0,1
171,1102,21.0,1
171,1102,22.0,1
171,1102,23.0,1
171,1720,12.0,2
171,1721,2.0,2
171,1721,10.0,1
171,1721,12.0,1
171,1721,13.0,1
171,1721,14.0,1
171,1721,15.0,1
171,1722,11.0,1
171,1726,12.0,1
171,1726,14.0,1
171,1726,16.0,3
171,1726,17.0,5
171,1727,14.0,1
171,1727,15.0,2
171,1727,16.0,1
171,1727,17.0,1
171,1727,18.0,1
171,1728,10.0,1
171,1728,14.0,1
171,1728,22.0,1
171,1730,11.0,1
171,1739,8.0,1
171,1744,14.0,3
171,1744,18.0,1
171,1744,19.0,2
171,1757,15.0,1
171,1763,12.0,2
171,1767,11.0,1
171,1767,12.0,1
171,1767,14.0,3
171,1767,15.0,1
171,1767,16.0,1
171,1767,18.0,1
171,1767,21.0,1
171,1768,15.0,1
171,1800,9.0,1
171,1800,12.0,1
171,1800,13.0,3
171,1808,9.0,1
171,1808,15.0,3
171,1808,16.0,1
171,1808,17.0,3
171,1809,15.0,1
171,1813,16.0,1
171,1814,10.0,1
171,1814,14.0,1
171,1814,16.0,1
171,1814,17.0,1
171,1821,21.0,1
171,1823,18.0,1
171,1824,15.0,1
171,1824,17.0,1
171,2259,17.0,1
171,2259,19.0,1
171,2268,16.0,1
171,2268,17.0,2
183,171,14.0,1
183,171,15.0,1
183,171,18.0,2
183,183,6.0,1
183,183,9.0,1
183,183,10.0,1
183,183,11.0,1
183,183,13.0,2
183,183,15.0,1
183,183,16.0,2
183,183,18.0,3
183,183,21.0,1
183,225,14.0,1
183,225,18.0,1
183,225,21.0,1
183,246,14.0,1
183,246,16.0,1
183,246,17.0,2
183,246,18.0,1
183,247,15.0,1
183,249,23.0,4
183,250,11.0,2
183,250,12.0,3
183,250,14.0,1
183,250,16.0,2
183,250,17.0,1
183,250,19.0,1
183,250,20.0,1
183,252,13.0,1
183,253,20.0,1
183,254,9.0,1
183,254,10.0,1
183,254,11.0,1
183,258,10.0,1
183,258,11.0,1
183,258,16.0,1
183,262,11.0,1
183,262,17.0,2
183,262,18.0,1
183,264,8.0,2
183,264,10.0,1
183,264,12.0,3
183,264,13.0,1
183,264,14.0,1
183,264,15.0,1
183,264,16.0,3
183,264,17.0,1
183,264,18.0,8
183,265,0.0,1
183,265,11.0,1
183,265,13.0,1
183,265,18.0,1
183,285,15.0,2
183,285,16.0,1
183,285,19.0,1
183,289,8.0,1
183,289,18.0,1
183,296,8.0,1
183,358,15.0,3
183,358,16.0,3
183,358,17.0,2
183,358,18.0,2
183,358,19.0,2
183,358,20.0,1
183,358,22.0,1
183,1019,11.0,1
183,1024,16.0,3
183,1024,17.0,1
183,1025,16.0,3
183,1025,17.0,1
183,1025,18.0,1
183,1028,20.0,2
183,1038,17.0,2
183,1038,18.0,2
183,1038,19.0,2
183,1039,9.0,1
183,1039,15.0,1
183,1042,8.0,1
183,1050,20.0,1
183,1052,14.0,1
183,1090,12.0,2
183,1090,16.0,1
183,1090,18.0,1
183,1090,19.0,1
183,1091,12.0,1
183,1091,13.0,1
183,1091,17.0,1
183,1091,23.0,3
183,1092,15.0,1
183,1092,16.0,2
183,1096,10.0,1
183,1096,13.0,1
183,1096,14.0,2
183,1096,18.0,1
183,1097,7.0,1
183,1097,15.0,1
183,1102,11.0,2
183,1102,14.0,1
183,1102,20.0,1
183,1720,14.0,1
183,1721,12.0,1
183,1721,15.0,1
183,1722,13.0,1
183,1726,18.0,1
183,1727,0.0,2
183,1727,11.0,1
183,1727,19.0,1
183,1728,17.0,1
183,1728,20.0,1
183,1729,22.0,1
183,1730,10.0,1
183,1730,11.0,1
183,1731,2.0,1
183,1731,14.0,1
183,1731,15.0,1
183,1737,12.0,1
183,1738,20.0,1
183,1743,9.0,1
183,1743,15.0,1
183,1743,17.0,1
183,1743,20.0,1
183,1744,16.0,1
183,1744,18.0,1
183,1745,15.0,1
183,1745,16.0,1
183,1748,16.0,1
183,1749,14.0,1
183,1753,17.0,1
183,1753,19.0,1
183,1754,20.0,1
183,1756,8.0,15
183,1756,13.0,1
183,1756,20.0,1
183,1757,18.0,1
183,1764,15.0,1
183,1764,16.0,1
183,1764,17.0,1
183,1765,7.0,1
183,1765,9.0,1
183,1765,13.0,2
183,1765,16.0,3
183,1765,18.0,1
183,1767,11.0,1
183,1767,13.0,1
183,1767,18.0,1
183,1768,20.0,1
183,1769,11.0,2
183,1769,13.0,1
183,1769,14.0,1
183,1769,16.0,1
183,1769,18.0,2
183,1808,7.0,1
183,1808,12.0,1
183,1808,15.0,2
183,1808,16.0,1
183,1808,17.0,1
183,1808,19.0,1
183,1814,13.0,1
183,1814,15.0,1
183,1814,16.0,2
183,1814,17.0,2
183,1818,12.0,1
183,1818,13.0,4
183,1818,14.0,2
183,1818,16.0,1
183,1819,16.0,2
183,1820,20.0,1
183,1821,17.0,2
183,1821,18.0,1
183,1823,17.0,1
183,1824,12.0,2
183,1824,13.0,1
183,1824,14.0,3
183,1824,16.0,3
183,1824,17.0,1
183,1824,18.0,6
183,1824,22.0,1
183,2259,11.0,1
183,2259,14.0,1
183,2259,15.0,1
183,2259,17.0,4
183,2259,18.0,1
183,2259,20.0,1
183,2259,21.0,1
183,2259,23.0,1
183,2268,10.0,1
183,2268,13.0,1
183,2268,16.0,1
189,189,12.0,1
189,189,15.0,1
189,189,17.0,1
189,189,18.0,2
189,246,17.0,1
189,248,19.0,2
189,249,13.0,1
189,250,13.0,1
189,252,13.0,1
189,253,16.0,2
189,253,17.0,3
189,253,18.0,2
189,254,7.0,1
189,254,10.0,1
189,256,15.0,2
189,259,13.0,1
189,259,14.0,1
189,260,17.0,1
189,262,18.0,1
189,262,19.0,1
189,264,15.0,1
189,264,19.0,10
189,265,9.0,1
189,265,10.0,2
189,265,14.0,3
189,265,15.0,2
189,265,17.0,1
189,265,18.0,1
189,265,19.0,1
189,265,20.0,1
189,265,21.0,1
189,285,11.0,2
189,289,14.0,1
189,296,16.0,1
189,296,18.0,1
189,358,12.0,1
189,358,13.0,1
189,358,18.0,4
189,1024,0.0,2
189,1024,12.0,1
189,1024,15.0,1
189,1024,17.0,1
189,1025,16.0,2
189,1025,17.0,1
189,1025,21.0,1
189,1028,11.0,1
189,1028,16.0,1
189,1028,23.0,2
189,1038,18.0,1
189,1039,14.0,1
189,1042,13.0,1
189,1051,11.0,1
189,1051,17.0,1
189,1051,18.0,1
189,1051,19.0,1
189,1052,17.0,1
189,1055,14.0,1
189,1090,17.0,1
189,1090,21.0,1
189,1097,16.0,2
189,1720,16.0,1
189,1721,19.0,1
189,1721,20.0,1
189,1726,15.0,1
189,1727,10.0,1
189,1727,17.0,2
189,1727,22.0,1
189,1728,13.0,1
189,1728,14.0,2
189,1728,15.0,1
189,1728,21.0,1
189,1730,8.0,3
189,1739,11.0,1
189,1758,8.0,1
189,1763,16.0,1
189,1763,21.0,1
189,1763,23.0,1
189,1764,17.0,1
189,1765,13.0,1
189,1769,9.0,1
189,1769,13.0,1
189,1769,18.0,3
189,1769,19.0,1
189,1770,4.0,1
189,1770,7.0,1
189,1813,15.0,1
189,1814,3.0,1
189,1814,13.0,1
189,1814,15.0,1
189,1814,16.0,1
189,1814,18.0,1
189,1814,21.0,2
189,1818,10.0,1
189,1821,18.0,1
189,1821,19.0,1
189,1821,21.0,2
189,1823,15.0,1
189,1824,11.0,1
189,1824,18.0,1
189,2259,17.0,3
189,2259,18.0,1
189,2259,19.0,1
189,2263,14.0,1
189,2263,16.0,1
189,2263,17.0,1
189,2265,16.0,1
189,2268,0.0,1
189,2268,1.0,2
189,2268,14.0,1
189,2268,23.0,2
225,183,13.0,1
225,183,14.0,1
225,183,16.0,2
225,189,8.0,1
225,225,11.0,5
225,225,15.0,1
225,225,16.0,2
225,225,20.0,3
225,225,22.0,1
225,225,23.0,1
225,250,18.0,1
225,256,11.0,1
225,258,15.0,1
225,262,2.0,1
